SL.NO,DISTRICT,NO.OF WORKING BOILERS,NO.OF WORKING SPL,NO. OF ECONOMISERS
1,Bagalkote,52,25,0
2,Belgavi,149,65,6
3,Bellary,257,63,4
4,Bangalore Rural,141,78,15
5,Bangalore Urban,463,94,5
6,Bidar,73,54,0
7,Bijapura,26,17,0
8,Chikkamagalur,24,13,0
9,Chikkaballapur,37,28,0
10,Chitradurga,27,21,0
11,Chamarajanagar,13,10,0
12,Dakshina Kannada,307,92,14
13,Davanagere,106,74,0
14,Dharwad,58,35,0
15,Gadag,2,1,0
16,Hassan,43,23,2
17,Haveri,36,20,4
18,Kalburgi,62,29,0
19,Kolar,49,29,2
20,Koppal,83,59,1
21,Madikeri,4,3,0
22,Mandya,43,25,0
23,Mysore,172,74,4
24,Raichur,132,22,0
25,Ramanagara,69,41,3
26,Shimogga,93,54,0
27,Tumkur,148,93,1
28,Udupi,354,87,3
29,Uttara Kannada,86,56,0
30,Vijayanagar,40,22,2
31,Yadgir,23,17,0
