district,latitude,longitude
Bagalkote,16.18,75.7
Bangalore Urban,12.97,77.59
Bangalore Rural,13.15,77.48
Belagavi,15.85,74.5
Bellary,15.14,76.92
Bidar,17.91,77.52
Chamarajanagar,11.92,76.94
Chikkaballapur,13.43,77.72
Chikkamagaluru,13.31,75.77
Chitradurga,14.22,76.4
Dakshina Kannada,12.91,74.85
Davanagere,14.46,75.92
Dharwad,15.46,75.0
Gadag,15.42,75.62
Hassan,13.06,76.09
Haveri,14.79,75.4
Kalaburagi,17.33,76.83
Kodagu,12.42,75.72
Kolar,13.13,78.13
Koppal,15.35,76.15
Mandya,12.52,76.89
Mysuru,12.3,76.65
Raichur,16.2,77.34
Ramanagara,12.75,77.2
Shivamogga,13.93,75.57
Tumakuru,13.34,77.11
Udupi,13.34,74.74
Uttara Kannada,14.82,74.52
Vijayapura,16.83,75.83
Yadgir,16.75,77.14
